PartitionKey,timeOfTweet,,,Prob,0.695411405
Ben Carson,Sun Feb 28 15:54:28 +0000 2016,,,0.735898674,58.2205993
Ben Carson,Sun Feb 28 15:54:35 +0000 2016,,,0.735898674,58.2205993
Ben Carson,Sun Feb 28 15:54:45 +0000 2016,,,0.735898674,58.2205993
Ben Carson,Sun Feb 28 15:54:51 +0000 2016,,,0.738091052,61.37323382
Ben Carson,Sun Feb 28 15:54:52 +0000 2016,,,0.615777493,-114.5133825
Ben Carson,Sun Feb 28 15:55:06 +0000 2016,,,0.735898674,58.2205993
Ben Carson,Sun Feb 28 15:55:18 +0000 2016,,,0.735898674,58.2205993
Ben Carson,Sun Feb 28 15:55:25 +0000 2016,,,0.735898674,58.2205993
Ben Carson,Sun Feb 28 15:55:46 +0000 2016,,,0.734136283,55.6862851
Ben Carson,Sun Feb 28 15:55:47 +0000 2016,,,0.735898674,58.2205993
Ben Carson,Sun Feb 28 15:55:49 +0000 2016,,,0.722726405,39.2789068
Ben Carson,Sun Feb 28 15:55:52 +0000 2016,,,0.631702721,-91.61294127
Ben Carson,Sun Feb 28 15:55:57 +0000 2016,,,0.734136283,55.6862851
Ben Carson,Sun Feb 28 15:55:59 +0000 2016,,,0.738091052,61.37323382
Ben Carson,Sun Feb 28 15:56:00 +0000 2016,,,0.662679374,-47.06858556
Ben Carson," of course they're going to be infiltrated by jihadists a…""",Sun Feb 28 15:56:03 +0000 2016,,0.665454924,-43.07735105
Ben Carson,Sun Feb 28 15:56:03 +0000 2016,,,0.734136283,55.6862851
Ben Carson,Sun Feb 28 15:56:11 +0000 2016,,,0.689178705,-8.962608578
Ben Carson,Sun Feb 28 15:56:18 +0000 2016,,,0.735898674,58.2205993
Ben Carson,Sun Feb 28 15:56:18 +0000 2016,,,0.735898674,58.2205993
Ben Carson,Sun Feb 28 15:56:19 +0000 2016,,,0.609873414,-123.0034345
Ben Carson,Sun Feb 28 15:56:22 +0000 2016,,,0.734136283,55.6862851
Ben Carson,Sun Feb 28 15:56:22 +0000 2016,,,0.734136283,55.6862851
Ben Carson,Sun Feb 28 15:56:28 +0000 2016,,,0.752737522,82.43482397
Ben Carson,Sun Feb 28 15:56:48 +0000 2016,,,0.662679374,-47.06858556
Ben Carson,Sun Feb 28 15:56:53 +0000 2016,,,0.735898674,58.2205993
Bernie Sanders,Sun Feb 28 15:02:57 +0000 2016,,,0.708456516,18.75883927
Bernie Sanders,Sun Feb 28 15:02:57 +0000 2016,,,0.720909476,36.66616708
Bernie Sanders,Sun Feb 28 15:02:59 +0000 2016,,,0.712643743,24.78006205
Bernie Sanders,Sun Feb 28 15:02:59 +0000 2016,,,0.781550884,123.8683722
Bernie Sanders,Sun Feb 28 15:03:00 +0000 2016,,,0.701161742,8.268971045
Bernie Sanders,Sun Feb 28 15:03:00 +0000 2016,,,0.7105546,21.77587923
Bernie Sanders,Sun Feb 28 15:03:01 +0000 2016,,,0.680635691,-21.24744305
Bernie Sanders,Sun Feb 28 15:03:01 +0000 2016,,,0.677183807,-26.21124429
Bernie Sanders,Sun Feb 28 15:03:01 +0000 2016,,,0.689420938,-8.614278081
Bernie Sanders,Sun Feb 28 15:03:02 +0000 2016,,,0.706349492,15.7289436
Bernie Sanders,Sun Feb 28 15:03:02 +0000 2016,,,0.744812429,71.03855848
Bernie Sanders,Sun Feb 28 15:03:03 +0000 2016,,,0.744812429,71.03855848
Bernie Sanders,Sun Feb 28 15:03:04 +0000 2016,,,0.693282545,-3.061296104
Bernie Sanders,Sun Feb 28 15:03:07 +0000 2016,,,0.7105546,21.77587923
Bernie Sanders,Sun Feb 28 15:03:08 +0000 2016,,,0.705410182,14.37821799
Bernie Sanders,Sun Feb 28 15:03:09 +0000 2016,,,0.74866277,76.57533997
Bernie Sanders,Sun Feb 28 15:03:10 +0000 2016,,,0.70210886,9.630924549
Bernie Sanders,Sun Feb 28 15:03:12 +0000 2016,,,0.724761724,42.20569084
Bernie Sanders,Sun Feb 28 15:03:12 +0000 2016,,,0.69352299,-2.715536748
Bernie Sanders,Sun Feb 28 15:03:13 +0000 2016,,,0.698071659,3.825438804
Bernie Sanders,Sun Feb 28 15:03:15 +0000 2016,,,0.69135505,-5.833029477
Bernie Sanders,Sun Feb 28 15:03:16 +0000 2016,,,0.693523049,-2.715451906
